file,function_added,function_deleted,function_modified,comment_added,comment_deleted,comment_modified,decl_stmt_added,decl_stmt_deleted,decl_stmt_modified,specifier_added,specifier_deleted,specifier_modified,cpp:include_added,cpp:include_deleted,cpp:include_modified,else_added,else_deleted,else_modified,refactoring_added,refactoring_deleted,refactoring_modified,return_added,return_deleted,return_modified,expr_stmt_added,expr_stmt_deleted,expr_stmt_modified,unit_added,unit_deleted,unit_modified,if_added,if_deleted,if_modified,function_decl_added,function_decl_deleted,function_decl_modified,expr_added,expr_deleted,expr_modified,param_added,param_deleted,param_modified,call_added,call_deleted,call_modified,argument_list_added,argument_list_deleted,argument_list_modified,macro_added,macro_deleted,macro_modified,type_added,type_deleted,type_modified,block_added,block_deleted,block_modified
007ef15ef8d56d39fa5434becf21d359091fcd5e.h.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00192a84ba2033f50c4f3e63a55c166e6dfe2d08.cpp.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
004da2074ddd52bfdbf46958af5bb5f5ff991295.cpp.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002d7fa13ecf6b0c72f0857e3baeb2871050203b.h.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0043edc0117e6a7d73b27c6666c149aa110ca8b4.cpp.xml,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0053c85003f0b51e5eea36a20bd992d1a177ae70.cpp.xml,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0027143b1d6396ddae995e33e555a9d487d8fd8a.h.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
003f6b0d920b4e2564fc5d14ee7e44a4c4f2ba35.cpp.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00774ea5d90d0f618a01021a063c949ec90a0ccd.cpp.xml,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0064d6ea9cf0db1fa711c7b52ff2a1c77cfe6ba2.cpp.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0014b6810eff5940a1be0839cfe9199d5d287689.h.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
002033509f3109fb816f064989822ed2f7522eed.cpp.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001110032fefab5b6d1b9a0dfe42705c76a6619d.cpp.xml,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0069883fcce53c1f7a66f4b730385b0345b7864e.cpp.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005a6c6ffa310c8c457283f75ed98011c1b07dbd.cpp.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0005ea73601b53441bf92ee69cb6964649c130fe.cpp.xml,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00712937506a73b85dcd20ecc9e9976bceb32e71.h.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0036044d090c0eb3dc12cd5dfbfaf7a32a8a54e2.h.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
008204d9c7e26860ec5362574b5ccfafd8006f68.cpp.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
006122199d7f0bedb273c7d5f206c8a8a2ddab10.h.xml,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
